"Item","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Consumer Electronics","22600","25550","29000","32000","34300","41200"
"Industrial Electronics","11910","12740","15160","17000","18700","21500"
"Computer Hardware","15870","13490","14970","14970","16500","24300"
"Communication & Broadcast Equipments","18700","26600","31000","35400","40500","55000"
"Strategic Electronics","5700","6840","6980","7700","8500","9000"
"Electronic Components","9630","12040","13610","21800","24800","26500"
"Sub-Total (Hardware)","84410","97260","110720","128870","143300","177500"
"Software for Exports","164400","216190","237000","268610","332769","410836"
"Domestic Software","47010","59000","67800","78700","91766","104700"
"Sub-Total (Software)","211410","275190","304800","347310","424535","515536"
